symbol,kind,category,baseline_source,current_candidate,current_candidate_reference_only,decision,verification
legacy-card-color,mixin,owned-legacy-theme,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,,,No public density mixin invented for this legacy family.,proposed-disposition; historical named export inspected; compile/API parity pending
legacy-card-typography,mixin,owned-legacy-theme,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,,,No public density mixin invented for this legacy family.,proposed-disposition; historical named export inspected; compile/API parity pending
legacy-checkbox-theme,mixin,owned-legacy-theme,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,,,No public density mixin invented for this legacy family.,proposed-disposition; historical named export inspected; compile/API parity pending
legacy-checkbox-color,mixin,owned-legacy-theme,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,,,No public density mixin invented for this legacy family.,proposed-disposition; historical named export inspected; compile/API parity pending
legacy-checkbox-typography,mixin,owned-legacy-theme,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,,,No public density mixin invented for this legacy family.,proposed-disposition; historical named export inspected; compile/API parity pending
legacy-chips-theme,mixin,owned-legacy-theme,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,,,No public density mixin invented for this legacy family.,proposed-disposition; historical named export inspected; compile/API parity pending
legacy-chips-color,mixin,owned-legacy-theme,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,,,No public density mixin invented for this legacy family.,proposed-disposition; historical named export inspected; compile/API parity pending
legacy-chips-typography,mixin,owned-legacy-theme,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,,,No public density mixin invented for this legacy family.,proposed-disposition; historical named export inspected; compile/API parity pending
legacy-dialog-theme,mixin,owned-legacy-theme,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,,,No public density mixin invented for this legacy family.,proposed-disposition; historical named export inspected; compile/API parity pending
legacy-dialog-color,mixin,owned-legacy-theme,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,,,No public density mixin invented for this legacy family.,proposed-disposition; historical named export inspected; compile/API parity pending
legacy-dialog-typography,mixin,owned-legacy-theme,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,,,No public density mixin invented for this legacy family.,proposed-disposition; historical named export inspected; compile/API parity pending
legacy-form-field-theme,mixin,owned-legacy-theme,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,,,No public density mixin invented for this legacy family.,proposed-disposition; historical named export inspected; compile/API parity pending
legacy-form-field-color,mixin,owned-legacy-theme,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,,,No public density mixin invented for this legacy family.,proposed-disposition; historical named export inspected; compile/API parity pending
legacy-form-field-typography,mixin,owned-legacy-theme,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,,,No public density mixin invented for this legacy family.,proposed-disposition; historical named export inspected; compile/API parity pending
legacy-input-theme,mixin,owned-legacy-theme,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,,,No public density mixin invented for this legacy family.,proposed-disposition; historical named export inspected; compile/API parity pending
legacy-input-color,mixin,owned-legacy-theme,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,,,No public density mixin invented for this legacy family.,proposed-disposition; historical named export inspected; compile/API parity pending
legacy-input-typography,mixin,owned-legacy-theme,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,,,No public density mixin invented for this legacy family.,proposed-disposition; historical named export inspected; compile/API parity pending
legacy-list-theme,mixin,owned-legacy-theme,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,,,No public density mixin invented for this legacy family.,proposed-disposition; historical named export inspected; compile/API parity pending
legacy-list-color,mixin,owned-legacy-theme,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,,,No public density mixin invented for this legacy family.,proposed-disposition; historical named export inspected; compile/API parity pending
legacy-list-typography,mixin,owned-legacy-theme,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,,,No public density mixin invented for this legacy family.,proposed-disposition; historical named export inspected; compile/API parity pending
legacy-menu-theme,mixin,owned-legacy-theme,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,,,No public density mixin invented for this legacy family.,proposed-disposition; historical named export inspected; compile/API parity pending
legacy-menu-color,mixin,owned-legacy-theme,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,,,No public density mixin invented for this legacy family.,proposed-disposition; historical named export inspected; compile/API parity pending
legacy-menu-typography,mixin,owned-legacy-theme,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,,,No public density mixin invented for this legacy family.,proposed-disposition; historical named export inspected; compile/API parity pending
legacy-paginator-theme,mixin,owned-legacy-theme,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,,,No public density mixin invented for this legacy family.,proposed-disposition; historical named export inspected; compile/API parity pending
legacy-paginator-color,mixin,owned-legacy-theme,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,,,No public density mixin invented for this legacy family.,proposed-disposition; historical named export inspected; compile/API parity pending
legacy-paginator-typography,mixin,owned-legacy-theme,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,,,No public density mixin invented for this legacy family.,proposed-disposition; historical named export inspected; compile/API parity pending
legacy-progress-bar-theme,mixin,owned-legacy-theme,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,,,No public density mixin invented for this legacy family.,proposed-disposition; historical named export inspected; compile/API parity pending
legacy-progress-bar-color,mixin,owned-legacy-theme,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,,,No public density mixin invented for this legacy family.,proposed-disposition; historical named export inspected; compile/API parity pending
legacy-progress-bar-typography,mixin,owned-legacy-theme,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,,,No public density mixin invented for this legacy family.,proposed-disposition; historical named export inspected; compile/API parity pending
legacy-progress-spinner-theme,mixin,owned-legacy-theme,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,,,No public density mixin invented for this legacy family.,proposed-disposition; historical named export inspected; compile/API parity pending
legacy-progress-spinner-color,mixin,owned-legacy-theme,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,,,No public density mixin invented for this legacy family.,proposed-disposition; historical named export inspected; compile/API parity pending
legacy-progress-spinner-typography,mixin,owned-legacy-theme,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,,,No public density mixin invented for this legacy family.,proposed-disposition; historical named export inspected; compile/API parity pending
legacy-radio-theme,mixin,owned-legacy-theme,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,,,No public density mixin invented for this legacy family.,proposed-disposition; historical named export inspected; compile/API parity pending
legacy-radio-color,mixin,owned-legacy-theme,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,,,No public density mixin invented for this legacy family.,proposed-disposition; historical named export inspected; compile/API parity pending
legacy-radio-typography,mixin,owned-legacy-theme,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,,,No public density mixin invented for this legacy family.,proposed-disposition; historical named export inspected; compile/API parity pending
legacy-select-theme,mixin,owned-legacy-theme,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,,,No public density mixin invented for this legacy family.,proposed-disposition; historical named export inspected; compile/API parity pending
legacy-select-color,mixin,owned-legacy-theme,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,,,No public density mixin invented for this legacy family.,proposed-disposition; historical named export inspected; compile/API parity pending
legacy-select-typography,mixin,owned-legacy-theme,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,,,No public density mixin invented for this legacy family.,proposed-disposition; historical named export inspected; compile/API parity pending
legacy-slide-toggle-theme,mixin,owned-legacy-theme,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,,,No public density mixin invented for this legacy family.,proposed-disposition; historical named export inspected; compile/API parity pending
legacy-slide-toggle-color,mixin,owned-legacy-theme,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,,,No public density mixin invented for this legacy family.,proposed-disposition; historical named export inspected; compile/API parity pending
legacy-slide-toggle-typography,mixin,owned-legacy-theme,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,,,No public density mixin invented for this legacy family.,proposed-disposition; historical named export inspected; compile/API parity pending
legacy-slider-theme,mixin,owned-legacy-theme,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,,,No public density mixin invented for this legacy family.,proposed-disposition; historical named export inspected; compile/API parity pending
legacy-slider-color,mixin,owned-legacy-theme,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,,,No public density mixin invented for this legacy family.,proposed-disposition; historical named export inspected; compile/API parity pending
legacy-slider-typography,mixin,owned-legacy-theme,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,,,No public density mixin invented for this legacy family.,proposed-disposition; historical named export inspected; compile/API parity pending
legacy-snack-bar-theme,mixin,owned-legacy-theme,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,,,No public density mixin invented for this legacy family.,proposed-disposition; historical named export inspected; compile/API parity pending
legacy-snack-bar-color,mixin,owned-legacy-theme,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,,,No public density mixin invented for this legacy family.,proposed-disposition; historical named export inspected; compile/API parity pending
legacy-snack-bar-typography,mixin,owned-legacy-theme,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,,,No public density mixin invented for this legacy family.,proposed-disposition; historical named export inspected; compile/API parity pending
legacy-table-theme,mixin,owned-legacy-theme,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,,,No public density mixin invented for this legacy family.,proposed-disposition; historical named export inspected; compile/API parity pending
legacy-table-color,mixin,owned-legacy-theme,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,,,No public density mixin invented for this legacy family.,proposed-disposition; historical named export inspected; compile/API parity pending
legacy-table-typography,mixin,owned-legacy-theme,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,,,No public density mixin invented for this legacy family.,proposed-disposition; historical named export inspected; compile/API parity pending
legacy-tabs-theme,mixin,owned-legacy-theme,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,,,No public density mixin invented for this legacy family.,proposed-disposition; historical named export inspected; compile/API parity pending
legacy-tabs-color,mixin,owned-legacy-theme,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,,,No public density mixin invented for this legacy family.,proposed-disposition; historical named export inspected; compile/API parity pending
legacy-tabs-typography,mixin,owned-legacy-theme,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,,,No public density mixin invented for this legacy family.,proposed-disposition; historical named export inspected; compile/API parity pending
legacy-tooltip-theme,mixin,owned-legacy-theme,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,,,No public density mixin invented for this legacy family.,proposed-disposition; historical named export inspected; compile/API parity pending
legacy-tooltip-color,mixin,owned-legacy-theme,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,,,No public density mixin invented for this legacy family.,proposed-disposition; historical named export inspected; compile/API parity pending
legacy-tooltip-typography,mixin,owned-legacy-theme,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,,,No public density mixin invented for this legacy family.,proposed-disposition; historical named export inspected; compile/API parity pending
autocomplete-theme,mixin,explicit-current-component-bridge,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,@angular/material:autocomplete-theme,,Source contract bridge; no v16 visual guarantee. Validate signature/input behavior and report consumer review boundary.,proposed-disposition; historical named export inspected; compile/API parity pending
autocomplete-color,mixin,explicit-current-component-bridge,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,@angular/material:autocomplete-color,,Source contract bridge; no v16 visual guarantee. Validate signature/input behavior and report consumer review boundary.,proposed-disposition; historical named export inspected; compile/API parity pending
autocomplete-typography,mixin,explicit-current-component-bridge,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,@angular/material:autocomplete-typography,,Source contract bridge; no v16 visual guarantee. Validate signature/input behavior and report consumer review boundary.,proposed-disposition; historical named export inspected; compile/API parity pending
autocomplete-density,mixin,explicit-current-component-bridge,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,@angular/material:autocomplete-density,,Source contract bridge; no v16 visual guarantee. Validate signature/input behavior and report consumer review boundary.,proposed-disposition; historical named export inspected; compile/API parity pending
badge-theme,mixin,explicit-current-component-bridge,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,@angular/material:badge-theme,,Source contract bridge; no v16 visual guarantee. Validate signature/input behavior and report consumer review boundary.,proposed-disposition; historical named export inspected; compile/API parity pending
badge-color,mixin,explicit-current-component-bridge,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,@angular/material:badge-color,,Source contract bridge; no v16 visual guarantee. Validate signature/input behavior and report consumer review boundary.,proposed-disposition; historical named export inspected; compile/API parity pending
badge-typography,mixin,explicit-current-component-bridge,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,@angular/material:badge-typography,,Source contract bridge; no v16 visual guarantee. Validate signature/input behavior and report consumer review boundary.,proposed-disposition; historical named export inspected; compile/API parity pending
badge-density,mixin,explicit-current-component-bridge,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,@angular/material:badge-density,,Source contract bridge; no v16 visual guarantee. Validate signature/input behavior and report consumer review boundary.,proposed-disposition; historical named export inspected; compile/API parity pending
bottom-sheet-theme,mixin,explicit-current-component-bridge,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,@angular/material:bottom-sheet-theme,,Source contract bridge; no v16 visual guarantee. Validate signature/input behavior and report consumer review boundary.,proposed-disposition; historical named export inspected; compile/API parity pending
bottom-sheet-color,mixin,explicit-current-component-bridge,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,@angular/material:bottom-sheet-color,,Source contract bridge; no v16 visual guarantee. Validate signature/input behavior and report consumer review boundary.,proposed-disposition; historical named export inspected; compile/API parity pending
bottom-sheet-typography,mixin,explicit-current-component-bridge,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,@angular/material:bottom-sheet-typography,,Source contract bridge; no v16 visual guarantee. Validate signature/input behavior and report consumer review boundary.,proposed-disposition; historical named export inspected; compile/API parity pending
bottom-sheet-density,mixin,explicit-current-component-bridge,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,@angular/material:bottom-sheet-density,,Source contract bridge; no v16 visual guarantee. Validate signature/input behavior and report consumer review boundary.,proposed-disposition; historical named export inspected; compile/API parity pending
button-theme,mixin,explicit-current-component-bridge,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,@angular/material:button-theme,,Source contract bridge; no v16 visual guarantee. Validate signature/input behavior and report consumer review boundary.,proposed-disposition; historical named export inspected; compile/API parity pending
button-color,mixin,explicit-current-component-bridge,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,@angular/material:button-color,,Source contract bridge; no v16 visual guarantee. Validate signature/input behavior and report consumer review boundary.,proposed-disposition; historical named export inspected; compile/API parity pending
button-typography,mixin,explicit-current-component-bridge,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,@angular/material:button-typography,,Source contract bridge; no v16 visual guarantee. Validate signature/input behavior and report consumer review boundary.,proposed-disposition; historical named export inspected; compile/API parity pending
button-density,mixin,explicit-current-component-bridge,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,@angular/material:button-density,,Source contract bridge; no v16 visual guarantee. Validate signature/input behavior and report consumer review boundary.,proposed-disposition; historical named export inspected; compile/API parity pending
fab-theme,mixin,explicit-current-component-bridge,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,@angular/material:fab-theme,,Source contract bridge; no v16 visual guarantee. Validate signature/input behavior and report consumer review boundary.,proposed-disposition; historical named export inspected; compile/API parity pending
fab-color,mixin,explicit-current-component-bridge,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,@angular/material:fab-color,,Source contract bridge; no v16 visual guarantee. Validate signature/input behavior and report consumer review boundary.,proposed-disposition; historical named export inspected; compile/API parity pending
fab-typography,mixin,explicit-current-component-bridge,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,@angular/material:fab-typography,,Source contract bridge; no v16 visual guarantee. Validate signature/input behavior and report consumer review boundary.,proposed-disposition; historical named export inspected; compile/API parity pending
fab-density,mixin,explicit-current-component-bridge,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,@angular/material:fab-density,,Source contract bridge; no v16 visual guarantee. Validate signature/input behavior and report consumer review boundary.,proposed-disposition; historical named export inspected; compile/API parity pending
icon-button-theme,mixin,explicit-current-component-bridge,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,@angular/material:icon-button-theme,,Source contract bridge; no v16 visual guarantee. Validate signature/input behavior and report consumer review boundary.,proposed-disposition; historical named export inspected; compile/API parity pending
icon-button-color,mixin,explicit-current-component-bridge,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,@angular/material:icon-button-color,,Source contract bridge; no v16 visual guarantee. Validate signature/input behavior and report consumer review boundary.,proposed-disposition; historical named export inspected; compile/API parity pending
icon-button-typography,mixin,explicit-current-component-bridge,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,@angular/material:icon-button-typography,,Source contract bridge; no v16 visual guarantee. Validate signature/input behavior and report consumer review boundary.,proposed-disposition; historical named export inspected; compile/API parity pending
icon-button-density,mixin,explicit-current-component-bridge,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,@angular/material:icon-button-density,,Source contract bridge; no v16 visual guarantee. Validate signature/input behavior and report consumer review boundary.,proposed-disposition; historical named export inspected; compile/API parity pending
button-toggle-theme,mixin,explicit-current-component-bridge,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,@angular/material:button-toggle-theme,,Source contract bridge; no v16 visual guarantee. Validate signature/input behavior and report consumer review boundary.,proposed-disposition; historical named export inspected; compile/API parity pending
button-toggle-color,mixin,explicit-current-component-bridge,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,@angular/material:button-toggle-color,,Source contract bridge; no v16 visual guarantee. Validate signature/input behavior and report consumer review boundary.,proposed-disposition; historical named export inspected; compile/API parity pending
button-toggle-typography,mixin,explicit-current-component-bridge,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,@angular/material:button-toggle-typography,,Source contract bridge; no v16 visual guarantee. Validate signature/input behavior and report consumer review boundary.,proposed-disposition; historical named export inspected; compile/API parity pending
button-toggle-density,mixin,explicit-current-component-bridge,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,@angular/material:button-toggle-density,,Source contract bridge; no v16 visual guarantee. Validate signature/input behavior and report consumer review boundary.,proposed-disposition; historical named export inspected; compile/API parity pending
card-theme,mixin,explicit-current-component-bridge,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,@angular/material:card-theme,,Source contract bridge; no v16 visual guarantee. Validate signature/input behavior and report consumer review boundary.,proposed-disposition; historical named export inspected; compile/API parity pending
card-color,mixin,explicit-current-component-bridge,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,@angular/material:card-color,,Source contract bridge; no v16 visual guarantee. Validate signature/input behavior and report consumer review boundary.,proposed-disposition; historical named export inspected; compile/API parity pending
card-typography,mixin,explicit-current-component-bridge,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,@angular/material:card-typography,,Source contract bridge; no v16 visual guarantee. Validate signature/input behavior and report consumer review boundary.,proposed-disposition; historical named export inspected; compile/API parity pending
card-density,mixin,explicit-current-component-bridge,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,@angular/material:card-density,,Source contract bridge; no v16 visual guarantee. Validate signature/input behavior and report consumer review boundary.,proposed-disposition; historical named export inspected; compile/API parity pending
checkbox-theme,mixin,explicit-current-component-bridge,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,@angular/material:checkbox-theme,,Source contract bridge; no v16 visual guarantee. Validate signature/input behavior and report consumer review boundary.,proposed-disposition; historical named export inspected; compile/API parity pending
checkbox-color,mixin,explicit-current-component-bridge,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,@angular/material:checkbox-color,,Source contract bridge; no v16 visual guarantee. Validate signature/input behavior and report consumer review boundary.,proposed-disposition; historical named export inspected; compile/API parity pending
checkbox-typography,mixin,explicit-current-component-bridge,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,@angular/material:checkbox-typography,,Source contract bridge; no v16 visual guarantee. Validate signature/input behavior and report consumer review boundary.,proposed-disposition; historical named export inspected; compile/API parity pending
checkbox-density,mixin,explicit-current-component-bridge,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,@angular/material:checkbox-density,,Source contract bridge; no v16 visual guarantee. Validate signature/input behavior and report consumer review boundary.,proposed-disposition; historical named export inspected; compile/API parity pending
chips-theme,mixin,explicit-current-component-bridge,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,@angular/material:chips-theme,,Source contract bridge; no v16 visual guarantee. Validate signature/input behavior and report consumer review boundary.,proposed-disposition; historical named export inspected; compile/API parity pending
chips-color,mixin,explicit-current-component-bridge,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,@angular/material:chips-color,,Source contract bridge; no v16 visual guarantee. Validate signature/input behavior and report consumer review boundary.,proposed-disposition; historical named export inspected; compile/API parity pending
chips-typography,mixin,explicit-current-component-bridge,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,@angular/material:chips-typography,,Source contract bridge; no v16 visual guarantee. Validate signature/input behavior and report consumer review boundary.,proposed-disposition; historical named export inspected; compile/API parity pending
chips-density,mixin,explicit-current-component-bridge,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,@angular/material:chips-density,,Source contract bridge; no v16 visual guarantee. Validate signature/input behavior and report consumer review boundary.,proposed-disposition; historical named export inspected; compile/API parity pending
datepicker-theme,mixin,explicit-current-component-bridge,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,@angular/material:datepicker-theme,,Source contract bridge; no v16 visual guarantee. Validate signature/input behavior and report consumer review boundary.,proposed-disposition; historical named export inspected; compile/API parity pending
datepicker-color,mixin,explicit-current-component-bridge,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,@angular/material:datepicker-color,,Source contract bridge; no v16 visual guarantee. Validate signature/input behavior and report consumer review boundary.,proposed-disposition; historical named export inspected; compile/API parity pending
datepicker-typography,mixin,explicit-current-component-bridge,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,@angular/material:datepicker-typography,,Source contract bridge; no v16 visual guarantee. Validate signature/input behavior and report consumer review boundary.,proposed-disposition; historical named export inspected; compile/API parity pending
datepicker-density,mixin,explicit-current-component-bridge,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,@angular/material:datepicker-density,,Source contract bridge; no v16 visual guarantee. Validate signature/input behavior and report consumer review boundary.,proposed-disposition; historical named export inspected; compile/API parity pending
dialog-theme,mixin,explicit-current-component-bridge,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,@angular/material:dialog-theme,,Source contract bridge; no v16 visual guarantee. Validate signature/input behavior and report consumer review boundary.,proposed-disposition; historical named export inspected; compile/API parity pending
dialog-color,mixin,explicit-current-component-bridge,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,@angular/material:dialog-color,,Source contract bridge; no v16 visual guarantee. Validate signature/input behavior and report consumer review boundary.,proposed-disposition; historical named export inspected; compile/API parity pending
dialog-typography,mixin,explicit-current-component-bridge,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,@angular/material:dialog-typography,,Source contract bridge; no v16 visual guarantee. Validate signature/input behavior and report consumer review boundary.,proposed-disposition; historical named export inspected; compile/API parity pending
dialog-density,mixin,explicit-current-component-bridge,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,@angular/material:dialog-density,,Source contract bridge; no v16 visual guarantee. Validate signature/input behavior and report consumer review boundary.,proposed-disposition; historical named export inspected; compile/API parity pending
divider-theme,mixin,explicit-current-component-bridge,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,@angular/material:divider-theme,,Source contract bridge; no v16 visual guarantee. Validate signature/input behavior and report consumer review boundary.,proposed-disposition; historical named export inspected; compile/API parity pending
divider-color,mixin,explicit-current-component-bridge,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,@angular/material:divider-color,,Source contract bridge; no v16 visual guarantee. Validate signature/input behavior and report consumer review boundary.,proposed-disposition; historical named export inspected; compile/API parity pending
divider-typography,mixin,explicit-current-component-bridge,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,@angular/material:divider-typography,,Source contract bridge; no v16 visual guarantee. Validate signature/input behavior and report consumer review boundary.,proposed-disposition; historical named export inspected; compile/API parity pending
divider-density,mixin,explicit-current-component-bridge,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,@angular/material:divider-density,,Source contract bridge; no v16 visual guarantee. Validate signature/input behavior and report consumer review boundary.,proposed-disposition; historical named export inspected; compile/API parity pending
expansion-theme,mixin,explicit-current-component-bridge,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,@angular/material:expansion-theme,,Source contract bridge; no v16 visual guarantee. Validate signature/input behavior and report consumer review boundary.,proposed-disposition; historical named export inspected; compile/API parity pending
expansion-color,mixin,explicit-current-component-bridge,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,@angular/material:expansion-color,,Source contract bridge; no v16 visual guarantee. Validate signature/input behavior and report consumer review boundary.,proposed-disposition; historical named export inspected; compile/API parity pending
expansion-typography,mixin,explicit-current-component-bridge,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,@angular/material:expansion-typography,,Source contract bridge; no v16 visual guarantee. Validate signature/input behavior and report consumer review boundary.,proposed-disposition; historical named export inspected; compile/API parity pending
expansion-density,mixin,explicit-current-component-bridge,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,@angular/material:expansion-density,,Source contract bridge; no v16 visual guarantee. Validate signature/input behavior and report consumer review boundary.,proposed-disposition; historical named export inspected; compile/API parity pending
form-field-theme,mixin,explicit-current-component-bridge,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,@angular/material:form-field-theme,,Source contract bridge; no v16 visual guarantee. Validate signature/input behavior and report consumer review boundary.,proposed-disposition; historical named export inspected; compile/API parity pending
form-field-color,mixin,explicit-current-component-bridge,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,@angular/material:form-field-color,,Source contract bridge; no v16 visual guarantee. Validate signature/input behavior and report consumer review boundary.,proposed-disposition; historical named export inspected; compile/API parity pending
form-field-typography,mixin,explicit-current-component-bridge,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,@angular/material:form-field-typography,,Source contract bridge; no v16 visual guarantee. Validate signature/input behavior and report consumer review boundary.,proposed-disposition; historical named export inspected; compile/API parity pending
form-field-density,mixin,explicit-current-component-bridge,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,@angular/material:form-field-density,,Source contract bridge; no v16 visual guarantee. Validate signature/input behavior and report consumer review boundary.,proposed-disposition; historical named export inspected; compile/API parity pending
